English	Czech	Dutch	French	German	Hungarian	Italian	Polish	Russian	Slovak	Spanish	Swedish	Ukrainian
books	knihy	boeken	livres	Bücher	könyvek	libri	książki	книги	knihy	libros	böcker	книги
Brazil	Brazílie	Brazilië	Brésil	Brasilien	Brazília	Brasile	Brazylia	Бразилия	Brazília	Brasil	Brasilien	Бразилія
butterflies	motýli	vlinders	papillons	Schmetterlinge	lepkék	farfalle	motyle	бабочки	motýle	mariposas	fjärilar	метелики
camping	kempování	camping	camping	Camping	kemping	campeggio	kemping	кемпинг	kempovanie	acampada	camping	кемпінг
Canada	Kanada	Canada	Canada	Kanada	Kanada	Canada	Kanada	Канада	Kanada	Canadá	Kanada	Канада
cars	auta	'auto''s'	voitures	Autos	autók	macchine	samochody	машины	autá	coches	bilar	автомобілі
cats	kočky	katten	chats	Katzen	macskák	gatti	koty	кошки	mačky	gatos	katter	коти
celebrities	celebrity	beroemdheden	célébrités	Zelebritäten	hírességek	celebrità	sławni ludzie	знаменитости	celebrity	famosos	kändisar	знаменитости
charity	dobročinnost	liefdadigheid	charité	Nächstenliebe	jótékonyság	carità	dobroczynność	благотворительность	dobročinnosť	caridad	välgörenhet	благодійність
chemistry	chemie	chemie	chimie	Chemie	kémia	chimica	chemia	химия	chémia	química	kemi	хімія
childhood	dětství	kinderjaren	enfance	Kindheit	gyermekkor	infanzia	dzieciństwo	детство	detstvo	infancia	barndom	дитинство
children	děti	kinderen	enfants	Kinder	gyermekek	bambini	dzieci	дети	deti	niños	barn	діти
chocolate	čokoláda	chocolade	chocolat	Schokolade	csokoládé	cioccolato	czekolada	шоколад	čokoláda	chocolate	choklad	шоколад
Christmas	vánoce	Kerstmis	Noël	Weihnachten	Karácsony	Natale	Boże Narodzenie	Рождество	Vianoce	Navidad	jul	Різдво
cinema	kino	bioscoop	cinéma	Kino	mozi	cinema 	kino	кино	kino	cine	biograf	кіно
cities	města	steden	villes	Städte	városok	città	miasta	города	mestá	ciudades	städer	міста
clothes	oblečení	kleren	vêtements	Kleider	ruhák	abbigliamento	ubranie	одежда	oblečenie	ropa	kläder	одяг
clouds	mraky	wolken	nuages	Wolken	felhők	nuvole	chmury	облаки	mraky	nubes	moln	хмари
coffee	káva	koffie	café	Kaffee	kávé	caffè	kawa	кофе	káva	café	kaffe	кава
colours	barvy	kleuren	couleurs	Farben	színek	colori	kolory	цвета	farby	colores	färger	кольори
communication	komunikace	communicatie	communication	Kommunikation	kommunikáció	comunicazione	kominikacja	связь	komunikácia	comunicación	kommunikation	комуніка́ція
computers	počítače	computers	ordinateurs	Computers	számítógépek	computer	komputery	компьютеры	počítače	ordenadores	datorer	'комп''ютери'
cookies	sušenky	koekjes	biscuits	Kekse	sütemények	biscotti	ciasteczka	печенье	sušienky	galletas	småkakor	печиво
cooking	vaření	het koken	cuisine	Kochen	főzés	cucina	gotowanie	готовление	varenie	cocinar	matlagning	приготування їжі
crime	zločin	misdrijf	criminalité	Verbrechen	bűntény	crimine	przestępstwo	преступление	zločin	crimen	brott	злочин
culture	kultura	cultuur	culture	Kultur	kultúra	cultura	kultura	культура	kultúra	cultura	kultur	культура
Czechia	Česko	Tsjechië	Tchéquie	Tschechien	Csehország	Cechia	Czechy	Чехия	Česko	Chequia	Tjeckien	Чехія
dance	tanec	dans	danse	Tanzen	tánc	danza	taniec	танец	tanec	danza	dans	танець
dating	randění	dating	rendez-vous	Rendezvous	randevú	incontri	randki	знакомства	randenie	citas románticas	dejtning	знайомства
death	smrt	dood	décès	Tod	halál	morte	śmierć	смерть	smrť	muerte	döden	смерть
disease	nemoc	ziekte	maladie	Krankheit	betegség	malattia	choroba	болезнь	choroba	enfermedad	sjukdom	хвороба
dogs	psi	honden	chiens	Hunde	kutyák	cani	psy	собаки	psi	perros	hundar	соба́ки
dreaming	snění	het dromen	rêverie	Träumen	álmodozás	sognare 	śnienie	сновидение	snívanie	soñar	drömmar	cновидіння
dugongs	dugongové	deojongs	dugongs	Dugongs	dugongok	dugonghi 	diugonie	дюгони	dugongovia	dugongs	dugonger	дюгоні
Easter	velikonoce	Pasen	Pâques	Ostern	Húsvét	Pasqua	Wielkanoc	Пасха	Veľká noc	Semana Santa	påsk	Великдень
education	vzdělání	opleiding	éducation	Bildung	oktatás	educazione	Edukacja	образование	vzdelanie	educación	utbildning	освіта
egoism	egoismus	egoïsme	égoïsme	Egoismus	egoizmus	egoismo	egoizm	эгоизм	egoizmus	egoísmo	egoism	егоїзм
elephants	sloni	olifanten	éléphants	Elefanten	elefántok	elefanti	słonie	слоны	slony	elefantes	elefanter	слони
emotions	emoce	emoties	émotions	Emotionen	érzelmek	emozioni 	emocje	эмоции	emócie	emociones	känslor	емоції
empathy	empatie	empathie	empathie	Empathie	empátia	empatia	empatia	сопереживание	empatia	empatía	empati	співпереживання
England	Anglie	Engeland	Angleterre	England	Anglia	Inghilterra	Anglia	Англия	Anglicko	Inglaterra	England	Англія
entertainment	zábava	vermaak	divertissement	Unterhaltung	szórakozás	divertimento	zabawa	развлечения	zábava	entretenimiento	fun	розвага
environment	životní prostředí	milieu	environnement	Umwelt	környezet	ambiente	środowisko	gi	životné prostredie	medio ambiente	miljö	навколишнє середовище
envy	závist	afgunst	envie	Neid	irigység	invidia	zazdrość	зависть	závisť	envidia	avund	заздрість
ethics	etika	ethiek	éthique	Ethik	etika	etica	etyka	этика	etika	ética	etik	етика
Europe	Evropa	Europa	Europe	Europa	Európa	Europa	Europa	Европа	Európa	Europa	Europa	Європа
euthanasia	eutanazie	euthanasie	euthanasie	Euthanasie	eutanázia	eutanasia	eutanazja	эвтаназия	eutanázia	eutanasia	eutanasi	евтаназія
failure	selhání	mislukking	échec	Versagen	kudarc	fallimento	niepowodzenie	отказ	zlyhanie	fracaso	misslyckande	невдача
family	rodina	familie	famille	Familie	család	famiglia	rodzina	семья	rodina	familia	familj	'сім''я'
fashion	móda	mode	mode	Mode	divat	moda	moda	мода	móda	Moda	mode	мода
fear	strach	angst	peur	Angst	félelem	paura	strach	страх	strach	miedo	rädsla	страх
fish	ryby	visen	poissons	Fische	hal	pesce	ryby	рыбы	ryby	pescado	fiskar	риби
flowers	květiny	bloemen	fleurs	Blumen	virágok	fiori	kwiaty	цветы	kvety	flores	blommor	квіти
food	jídlo	voedsel	nourriture	Essen	étel	cibo	jedzenie	питание	jedlo	comida	mat	їжа
football	fotbal	voetbal	football	Fußball	futball	calcio	piłka nożna	футбол	futbal	fútbol	fotboll	футбол
France	Francie	Frankrijk	France	Frankreich	Franciaország	Francia	Francja	Франция 	Francúzsko	Francia	Frankrike	Франція
freedom	svoboda	vrijheid	liberté	Freiheit	szabadság	libertà	wolność	свобода	sloboda	libertad	frihet	свобода
friends	přátelé	vrienden	copains	Freunde	barátok	amici	przyjaciele	друзья	priatelia	amigos	vänner	друзі
future	budoucnost	toekomst	futur	Zukunft	jövő	futuro	przyszłość	будущее	budúcnosť	futuro	framtid	майбутнє
games	hry	spellen	jeux	Spiele	játékok	giochi	gry	игры	hry	juegos	spel	ігри
geography	zeměpis	aardrijkskunde	géographie	Erdkunde	földrajz	geografia	geografia	география	zemepis	geografía	geografi	географія
Germany	Německo	Duitsland	Allemagne	Deutschland	Németország	Germania	Niemcy	Германия	Nemecko	Alemania	Tyskland	Німеччина
golf	golf	golf	golf	Golf	golf	golf	golf	гольф	golf	golf	golf	гольф
habits	zvyky	gewoontes	habitudes	Gewohnheiten	szokások	abitudini	zwyczaje	привычки	zvyky	hábitos	vanor	звичаї
happiness	štěstí	geluk	bonheur	Glück	boldogság	felicità	szczęście	счастье	šťastie	felicidad	lycka	щастя
hate	nenávist	haat	haine	Hass	gyűlölet	odio	nienawiść	ненависть	nenávisť	odio	hat	ненависть
health	zdraví	gezondheid	santé	Gesundheit	egészség	salute	zdrowie	здоровье	zdravie	salud	hälsa	'здоров''я'
heaven	nebe	hemel	paradis	Himmel	mennyország	cielo	niebo	небо	nebo	cielo	himmel	небо
hell	peklo	hel	enfer	Hölle	pokol	inferno	piekło	ад	peklo	infierno	helvete	пекло
heroes	hrdinové	helden	héros	Helden	hősök	eroi	bohaterowie	герои	hrdinovia	héroes	hjältar	герої
history	dějiny	geschiedenis	histoire	Geschichte	történelem	storia	historia	история	história	historia	historia	історія
hobbies	koníčky	'hobby''s'	loisirs	Hobbys	hobbi	hobby	zainteresowania	хобби	koníčky	aficiones	hobbies	хобі
holidays	prázdniny	vakantie	vacances	Ferien	ünnepek	ferie	wakacje	праздники	prázdniny	vacaciones	semestrar	свята
horses	koně	paarden	chevaux	Pferde	lovak	cavalli	konie	лошади	kone	caballos	hästar	коні
hotels	hotely	hotels	hôtels	Hotels	szállodák	alberghi	hotele	отели	hotely	hoteles	hotell	готелі
houses	domy	huizen	maisons	Häuser	házak	case	domy	дома	domy	casas	hus	будинки
humans	lidé	mensen	humains	Menschen	emberek	persone	ludzie	люди	ľudia	humanos	människor	люди
hunger	hlad	honger	faim	Hunger	éhség	fame	głód	голод	hlad	hambre	hunger	голод
Iceland	Island	IJsland	Islande	Island	Izland	Islanda	Islandia	Исландия	Island	Islandia	Island	Ісландія
India	Indie	Indië	Inde	Indien	India	India	Indie	Индия	India	India	Indien	Індія
insects	hmyz	insecten	insectes	Insekten	rovarok	insetti	owady	насекомые	hmyz	insectos	insekter	комахи
intelligence	inteligence	intelligentie	intelligence	Intelligenz	intelligencia	intelligenza	inteligencja	интеллект	inteligencia	inteligencia	intelligens	інтелект
Ireland	Irsko	Ierland	Irlande	Irland	Írország	Irlanda	Irlandia	Ирландия	Írsko	Irlanda	Irland	Ірландія
islands	ostrovy	eilanden	îles	Inseln	szigetek	Isole	wyspy	острова	ostrovy	islas	öar	острови
Italy	Itálie	Italië	Italie	Italien	Olaszország	Italia	Włochy	Италия	Taliansko	Italia	Italien	Італія
Japan	Japonsko	Japan	Japon	Japan	Japán	Giappone	Japonia	Япония	Japonsko	Japón	Japan	Японія
jewels	šperky	juwelen	bijoux	Juwelen	ékszerek	gioielli	klejnoty	ювелирные изделия	klenoty	joyas	juveler	ювелірні прикраси
jobs	pracovní místa	werkplaatsen	emplois	Arbeitsplätze	foglalkozások	posti di lavoro	miejsca pracy	рабочие места	pracovných miest	trabajos	jobb	робочі місця
jogging	běhání	jogging	jogging	Joggen	sport	jogging	jogging	джоггинг	behanie	running	joggning	пробіжка
jokes	vtipy	grappen	blagues	Witze	viccek	scherzi	żarty	анекдоты	vtipy	chistes	skämt	жарти
languages	jazyky	talen	langues	Sprachen	nyelvek	lingue	języki	языки	jazyky	idiomas	språk	мови
laughter	smích	gelach	rire	Lachen	nevetés	risata	śmiech	смех	smiech	la risa	skratt	сміх
life	život	leven	vie	Leben	élet	vita	życie	жизнь	život	vida	liv	життя
linguistics	lingvistika	taalwetenschap	linguistique	Linguistik	nyelvészet	linguistica	językoznawstwo	лингвистика	lingvistika	lingüística	lingvistik	лінгвістика
literature	literatura	literatuur	littérature	Literatur	irodalom	letteratura	literatura	литература	literatúra	literatura	litteratur	література
love	láska	liefde	amour	Liebe	szeretet	amore	miłość	любовь	láska	amor	kärlek	любов
males and females	muži a ženy	mannen en vrouwen	hommes et femmes	Männer und Frauen	hímek és nők	uomini e donne	mężczyźni i kobiety	мужчины и женщины	muži a ženy	homres y mujeres	män och kvinnor	чоловіки та жінки
marriage	manželství	huwelijk	mariage	Ehe	házasság	matrimonio	związek małżeński	брак	manželstvo	matrimonio	äktenskap	одруження
mathematics	matematika	wiskunde	mathématiques	Mathematik	matematika	matematica	matematyka	математика	matematika	matemáticas	matematik	математика
media	média	media	médias	Medien	média	media	media	СМИ	médiá	medios de comunicación	massmedier 	мас-медіа
memory	paměť	geheugen	mémoire	Gedächtnis	memória	memoria	pamięć	память	pamäť	memoria	minne	'пам''ять'
Mexico	Mexiko	Mexico	Mexique	Mexiko	Mexikó	Messico	Meksyk	Мексика	Mexiko	Mexico	Mexiko	Мексика
migration	migrace	migratie	migration	Migration	népvándorlás	migrazione	migracja	миграция	migrácia	migración	migration	міграція
money	peníze	geld	argent	Geld	pénz	soldi	pieniądze	деньги	peniaze	dinero	pengar	гроші
motivation	motivace	motivatie	motivation	Motivation	motiváció	motivazione	motywacja	мотивация	motivácia	motivación	motivation	мотивація
mountains	hory	bergen	montagnes	Berge	hegyek	montagne	góry	горы	hory	montañas	berg	гори
movies	filmy	films	films	Filme	filmek	film	filmy	фильмы	filmy	películas	filmer	кіно
music	hudba	muziek	musique	Musik	zene	musica	muzyka	музыка	hudba	música	musik	музика
nature	příroda	natuur	nature	Natur	természet	natura	natura	природа	príroda	naturaleza	natur	природа
neighbours	sousedé	buren	voisins	Nachbarn	szomszédok	vicinato	sąsiedzi	соседи	susedia	vecinos	grannar	сусіди
news	zprávy	nieuws	nouvelles	Nachrichten	hírek	notizie	aktualności	новости	správy	noticias	nyheter	новини
newspapers	noviny	kranten	journaux	Zeitungen	újságok	giornale	gazety	газеты	noviny	periódicos	tidningar	газети
numbers	čísla	getallen	nombres	Zahlen	számok	numeri	liczby	числа	čísla	números	tal	числа
oceans	oceány	oceanen	océans	Ozeane	óceánok	oceani	oceany	океаны	oceány	océanos	hav	океани
opera	opera	opera	opéra	Oper	opera	opera	opera	опера	opera	ópera	opera	опера
parents	rodiče	ouders	parents	Eltern	szülők	genitori	rodzice	родители	rodičia	padres	föräldrar	батьки
personality	osobnost	persoonlijkheid	personnalité	Persönlichkeit	személyiség	personalità	osobowość	личность	osobnosť	personalidad	personlighet	особистість
philosophy	filozofie	filosofie	philosophie	Philosophie	filozófia	filosofia	filozofia	философия	filozofia	filosofía	filosofi	філософія
phones	telefony	telefoons	téléphones	Telefone	telefonok	telefoni	telefony	телефоны	telefóny	teléfonos	telefoner	телефони
photography	fotografování	fotografie	photographie	Fotografie	fényképészet	fotografia	fotografia	фотография	fotografovanie	fotografía	fotografering	фотографія
physics	fyzika	fysica	physique	Physik	fizika	fisica	fizyka	физика	fyzika	física	fysik	фізика
peace	mír	vrede	paix	Frieden	béke	pace	pokój	мир	mier	paz	fred	мир
poetry	poezie	poëzie	poésie	Poesie	költészet	poesia	poezja	поэзия	poézia	poesía	poesi	поезія
Poland	Polsko	Polen	Pologne	Polen	Lengyelország	Polonia	Polska	Польша	Poľsko	Polonia	Polen	Польща
politics	politika	politiek	politique	Politik	politika	politica	polityka	политика	politika	política	politik	політика
prisons	věznice	gevangenissen	prisons	Gefängnisse	börtönök	carcere	więzienia	тюрьмы	väznice	prisiones	fängelser	'в''язниця'
privacy	soukromí	privacy	intimité	Privatleben	magánélet	vita privata	prywatność	личная жизнь	súkromie	intimidad	privatliv	конфіденційність
productivity	produktivita	productiviteit	productivité	Produktivität	termelékenység	produttività	produktywność	производительность	produktivita	productividad	produktivitet	продуктивність
professions	povolání	beroepen	professions	Berufe	hivatások	professione	zawody	профессии	profesie	profesiones	yrken	професії
psychology	psychologie	psychologie	psychologie	Psychologie	pszichológia	psicologia	psychologia	психология	psychológia	psicología	psykologi	психологія
radio	rádio	radio	radio	Radio	rádió	radio	radio	радио	rádio	radio	radio	радіо
religion	náboženství	religie	religion	Religion	vallás	religione	religia	религия	náboženstvo	religión	religion	релігія
responsibility	odpovědnost	verantwoordelijkheid	responsabilité	Verantwortung	felelősség	responsabilità	odpowiedzialność	ответственность	zodpovednosť	responsabilidad	ansvar	відповідальність
restaurants	restaurace	restaurants	restaurants	Restaurants	éttermek	ristoranti	restauracje	ресторан	reštaurácia	restaurantes	restauranger	ресторани
robots	roboti	robots	robots	Roboter	robotok	robot	roboty	роботы	roboty	robots	robotar	роботи
Russia	Rusko	Rusland	Russie	Russland	Oroszország	Russia	Rosja	Россия	Rusko	Rusia	Ryssland	Росія
sadness	smutek	droefheid	tristesse	Traurigkeit	szomorúság	tristezza 	smutek	печаль	smútok	tristeza	sorg	смуток
school	škola	school	école	Schule	iskola	scuola	szkoła	школа	škola	colegio	skola	школа
science	věda	wetenschap	science	Wissenschaft	tudomány	scienza	nauka	наука	veda	Ciencias	vetenskap	наука
Scotland	Skotsko	Schotland	Écosse	Schottland	Skócia	Scozia	Szkocja	Шотландия	Škótsko	Escocia	Skottland	Шотландія
sharks	žraloci	haaien	requins	Haie	cápák	squali	rekiny	акулы	žraloky	tiburones	hajar	акули
shoes	boty	schoenen	chaussures	Schuhe	cipő	scarpe	buty	обувь	topánky	Zapatos	skor	взуття
shopping	nakupování	boodschappen	achats	Einkaufen	vásárlás	shopping	zakupy	покупки	nakupovanie	compras	shopping	покупка
craziness	šílenství	krankzinnigheid	folie	Verrücktheit	őrület	follia	szaleństwo	сумасшествие	potreštenosť	locura	galenskap	безумство
singers	zpěváci	zangers	chanteurs	Sänger	énekesek	cantanti	śpiewacy	певцы	speváci	cantantes	sångare	співаки
singing	zpěv	het zingen	chant	Singen	éneklés	canto	śpiewanie	пение	spev	canto	sång	спів
slavery	otroctví	slavernij	esclavage	Sklaverei	rabszolgaság	schiavitù	niewolnictwo	рабство	otroctvo	esclavitud	slaveri	рабство
sleep	spánek	slaap	sommeil	Schlafen	alvás	sonno	spanie	сон	spánok	dormir	sömn	сон
Slovakia	Slovensko	Slowakije	Slovaquie	Slowakei	Szlovákia	Slovacchia	Słowacja	Словакия	Slovensko	Eslovaquia	Slovakien	Словаччина
smoking	kouření	het roken	fumer	Rauchen	dohányzás	fumo	palenie	курение	fajčenie	fumar	rökning	куріння
soap operas	telenovely	'soap opera''s'	telenovelas	Seifenopern	szappanoperák	telenovele	telenowele	мыльные оперы	telenovely	telenovelas	såpoperor	теленовелі
society	společnost	maatschappij	société	Gesellschaft	társadalom	società	społeczeństwo	общество	spoločnosť	sociedad	samhälle	суспільство
Spain	Španělsko	Spanje	Espagne	Spanien	Spanyolország	Spagna	Hiszpania	Испания	Španielsko	España	Spanien	Іспанія
sports	sport	sporten	sport	Sport	sportok	sport	sporty	виды спорта	šport	deportes	idrott	спорт
spring	jaro	de lente	printemps	Frühling	tavasz	primavera	wiosna	весна	jar	primavera	vår	весна
statistics	statistika	statistiek	statistique	Statistiken	statisztika	statistica	statystyka	статистика	štatistika	estadística	statistik	статистика
stories	příběhy	verhalen	histoires	Geschichten	történetek	storie	historie	истории	príbehy	historias	berättelser	розповіді
success	úspěch	succes	succès	Erfolg	siker	successo	sukces	успех	úspech	éxito	framgång	успіх
summer	léto	zomer	été	Sommer	nyár	estate	lato	лето	leto	verano	sommar	літо
tea	čaj	thee	thé	Tee	tea	tè	herbata	чай	čaj	té	te	чай
technology	technologie	technologie	technologie	Technologie	technológia	tecnologia	technologia	технологии	technológia	tecnología	teknik	технологія
television	televize	televisie	télévision	Fernsehen	televízió	televisione 	telewizja	телевидение	televízia	televisión	television	телебачення
the Beatles	the Beatles	de Beatles	Beatles	the Beatles	a Beatles	i Beatles	The Beatles	Битлз	the Beatles	los Beatles	Beatles	Бітлз
the Internet	internet	het internet	Internet	Internet	az internet	Internet	Internet	интернет	internet	internet	Internet	інтернет
the past	minulost	het verleden	passé	Vergangenheit	a múlt	passato	przeszłość	прошлое	minulosť	el pasado	förflutna	минуле
theatre	divadlo	theater	théâtre	Theater	színház	teatro	teatr	театр	divadlo	teatro	teater	театр
tourism	turismus	toerisme	tourisme	Tourismus	turizmus	turismo	turystyka	туризм	cestovný ruch	turismo	turism	туризм
traditions	tradice	tradities	traditions	Traditionen	hagyományok	tradizioni 	tradycje	традиции	tradície	tradiciones	traditioner	традиції
travelling	cestování	het rijzen	voyage	Reisen	utazás	viaggio	podróżowanie	путешествие	cestovanie	viajar	resor	подорожі
universe	vesmír	universum	univers	Weltraum	világegyetem	universo	wszechświat	космос	vesmír	universo	universum	Всесвіт
university	univerzita	universiteit	université	Universität	egyetem	università	uniwersytet	университет	univerzita	universidad	universitet	університет
walking	chůze	het wandelen	marche	Spazieren	gyaloglás	camminata	spacerowanie	ходьба	chôdza	caminar	gång	ходьба
war	válka	oorlog	guerre	Krieg	háború	guerra	wojna	война	vojna	guerra	krig	війна
water	voda	water	eau	Wasser	víz	acqua	woda	вода	voda	agua	vatten	вода
whales	velryby	walvissen	baleines	Wale	bálnák	balene	wieloryby	киты	veľryby	ballenas	valar	кити
winter	zima	winter	hiver	Winter	tél	inverno	zima	зима	zima	invierno	vinter	зима
work	práce	werk	travail	Arbeit	munka	lavoro	praca	работа	práca	trabajo	arbete	робота
